Zip_Code,Counts,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
11360,58,Bayside,NY,40.780386,-73.78005,-5.0,1.0,"40.780386,-73.78005"
10005,51,New York,NY,40.706019,-74.00858000000001,-5.0,1.0,"40.706019,-74.00858"
10308,49,Staten Island,NY,40.551353000000006,-74.15098,-5.0,1.0,"40.551353,-74.15098"
11426,47,Bellerose,NY,40.732239,-73.72108,-5.0,1.0,"40.732239,-73.72108"
10307,44,Staten Island,NY,40.508274,-74.24387,-5.0,1.0,"40.508274,-74.24387"
11109,35,Long Island City,NY,40.651378,-73.870779,-5.0,1.0,"40.651378,-73.870779"
11366,34,Fresh Meadows,NY,40.726137,-73.79502,-5.0,1.0,"40.726137,-73.79502"
10044,33,New York,NY,40.762174,-73.94917,-5.0,1.0,"40.762174,-73.94917"
10464,30,Bronx,NY,40.857017,-73.78903000000001,-5.0,1.0,"40.857017,-73.78903"
10006,26,New York,NY,40.707904,-74.01342,-5.0,1.0,"40.707904,-74.01342"
10280,26,New York,NY,40.707467,-74.0178,-5.0,1.0,"40.707467,-74.0178"
11362,24,Little Neck,NY,40.759686,-73.73321999999999,-5.0,1.0,"40.759686,-73.73322"
10007,22,New York,NY,40.714754,-74.00721,-5.0,1.0,"40.714754,-74.00721"
11004,17,Glen Oaks,NY,40.742944,-73.70956,-5.0,1.0,"40.742944,-73.70956"
11363,17,Little Neck,NY,40.772636,-73.74644,-5.0,1.0,"40.772636,-73.74644"
10069,12,New York,NY,40.775477,-73.9905,-5.0,1.0,"40.775477,-73.9905"
11040,11,New Hyde Park,NY,40.742901,-73.67895,-5.0,1.0,"40.742901,-73.67895"
10282,8,New York,NY,40.717178999999994,-74.01433,-5.0,1.0,"40.717179,-74.01433"
11001,6,Floral Park,NY,40.7232,-73.70475,-5.0,1.0,"40.7232,-73.70475"
10170,4,New York,NY,40.752859,-73.97608000000001,-5.0,1.0,"40.752859,-73.97608"
10020,3,New York,NY,40.758666999999996,-73.98024000000001,-5.0,1.0,"40.758667,-73.98024"
10162,3,New York,NY,40.769334,-73.94893,-5.0,1.0,"40.769334,-73.94893"
11424,3,Jamaica,NY,40.651378,-73.870779,-5.0,1.0,"40.651378,-73.870779"
10177,2,New York,NY,40.755345,-73.97609,-5.0,1.0,"40.755345,-73.97609"
10168,2,New York,NY,40.751933,-73.976794,-5.0,1.0,"40.751933,-73.976794"
11359,2,Bayside,NY,40.79278,-73.776701,-5.0,1.0,"40.79278,-73.776701"
11242,2,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10176,2,New York,NY,40.75557,-73.978877,-5.0,1.0,"40.75557,-73.978877"
11575,2,Roosevelt,NY,40.679413000000004,-73.58694,-5.0,1.0,"40.679413,-73.58694"
11439,2,Jamaica,NY,40.722008,-73.79082199999999,-5.0,1.0,"40.722008,-73.790822"
10112,1,New York,NY,40.759291,-73.97979000000001,-5.0,1.0,"40.759291,-73.97979"
10103,1,New York,NY,40.760915000000004,-73.97785,-5.0,1.0,"40.760915,-73.97785"
10167,1,New York,NY,40.754862,-73.97495,-5.0,1.0,"40.754862,-73.97495"
10155,1,New York,NY,40.761103999999996,-73.968036,-5.0,1.0,"40.761104,-73.968036"
10118,1,New York,NY,40.748998,-73.986467,-5.0,1.0,"40.748998,-73.986467"
10101,1,New York,NY,40.780751,-73.977182,-5.0,1.0,"40.780751,-73.977182"
11514,1,Carle Place,NY,40.750132,-73.61328,-5.0,1.0,"40.750132,-73.61328"
10123,1,New York,NY,40.751489,-73.990537,-5.0,1.0,"40.751489,-73.990537"
11430,1,Jamaica,NY,40.650519,-73.79567,-5.0,1.0,"40.650519,-73.79567"
11202,1,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
10281,1,New York,NY,40.714643,-74.014958,-5.0,1.0,"40.714643,-74.014958"
11753,1,Jericho,NY,40.786544,-73.53675,-5.0,1.0,"40.786544,-73.53675"
10152,1,New York,NY,40.758611,-73.97223000000001,-5.0,1.0,"40.758611,-73.97223"
11240,1,Brooklyn,NY,40.645099,-73.945032,-5.0,1.0,"40.645099,-73.945032"
11024,1,Great Neck,NY,40.812886999999996,-73.74094000000001,-5.0,1.0,"40.812887,-73.74094"
10107,1,New York,NY,40.766428999999995,-73.98272800000001,-5.0,1.0,"40.766429,-73.982728"
